drug_name,ndc_code,hcpcs_code,numerator_strength,mbu_increment,mbu_increments_per_bottle,mbus_per_package,package_quantity,ndc_unit_sum
Abraxane,68817-0134-50,J9264,100,1,100,100,1,100
Adcetris,51144-0050-01,J9042,50,1,50,50,1,50
Alimta,00002-7623-01,J9305,500,10,50,500,1,500
Alimta,00002-7640-01,J9305,100,10,10,100,1,100
Aloxi,62856-0797-01,J2469,0.25,25,10,250,1,250
Aloxi,62856-0798-01,,0.075,,,,5,
Aloxi,69639-0103-01,J2469,0.05,25,10,250,1,250
Aloxi,69639-0103-05,,0.05,,,,1,
Aranesp,55513-0002-04,J0881,25,1,25,25,4,100
Aranesp,55513-0003-04,J0881,40,1,40,40,4,160
Aranesp,55513-0004-04,J0881,60,1,60,60,4,240
Aranesp,55513-0005-04,J0881,100,1,100,100,4,400
Aranesp,55513-0006-01,J0881,200,1,200,200,1,200
Aranesp,55513-0021-04,J0882,40,1,40,40,1,40
Aranesp,55513-0023-04,J0881,60,1,60,60,1,60
Aranesp,55513-0025-04,J0881,100,1,100,100,1,100
Aranesp,55513-0027-04,J0882,150,1,150,150,1,150
Aranesp,55513-0028-01,J0881,200,1,200,200,1,200
Aranesp,55513-0032-01,J0881,500,1,500,500,1,500
Aranesp,55513-0057-04,J0882,25,1,25,25,1,25
Aranesp,55513-0098-04,J0881,10,1,10,10,1,10
Aranesp,55513-0110-01,J0881,300,1,300,300,1,300
Aranesp,55513-0111-01,J0881,300,1,300,300,1,300
Avastin,50242-0060-01,J9035,100,10,10,100,1,100
Avastin,50242-0060-10,J9035,100,10,10,100,10,1000
Avastin,50242-0061-01,J9035,400,10,40,400,1,400
Avastin,50242-0061-10,J9035,400,10,40,400,10,4000
Azacitidine,00591-2897-49,J9025,100,1,100,100,1,100
Azacitidine,00781-3253-94,J9025,100,1,100,100,1,100
Azacitidine,00781-9253-94,J9025,100,1,100,100,1,100
Azacitidine,16714-0777-01,,100,,,,1,
Azacitidine,16714-0927-01,,100,,,,1,
Azacitidine,16729-0306-10,J9025,100,1,100,100,1,100
Azacitidine,43598-0305-62,J9025,100,1,100,100,1,100
Azacitidine,43598-0465-62,J9025,100,1,100,100,1,100
Azacitidine,43598-0678-11,J9025,100,1,100,100,1,100
Azacitidine,43817-0906-01,,100,,,,1,
Azacitidine,51991-0797-98,J9025,100,1,100,100,1,100
Azacitidine,63323-0771-39,J9025,100,1,100,100,1,100
Azacitidine,63759-0003-01,,100,,,,1,
Azacitidine,64679-0096-01,,100,,,,1,
Azacitidine,67457-0254-30,J9025,100,1,100,100,1,100
Azacitidine,68001-0313-56,J9025,100,1,100,100,1,100
Azacitidine,69097-0368-40,,100,,,,1,
Azacitidine,72485-0201-01,J9025,100,1,100,100,1,100
Bavencio,44087-3535-01,J9023,20,10,20,200,1,200
Belrapzo,42367-0521-25,J9036,100,1,100,100,1,100
Bendeka,63459-0348-04,J9034,25,1,100,100,1,100
Bleomycin,00143-9240-01,J9040,15,15,1,15,1,15
Bleomycin,00143-9241-01,J9040,30,15,2,30,1,30
Bleomycin,00409-0323-20,J9040,30,15,2,30,1,30
Bleomycin,00409-0332-20,J9040,15,15,1,15,1,15
Bleomycin,00703-3154-01,J9040,15,15,1,15,1,15
Bleomycin,00703-3155-01,J9040,30,15,2,30,1,30
Bleomycin,16714-0886-01,J9040,15,15,1,15,1,15
Bleomycin,16714-0908-01,J9040,30,15,2,30,1,30
Bleomycin,61703-0323-22,J9040,30,15,2,30,1,30
Bleomycin,61703-0332-18,J9040,15,15,1,15,1,15
Bleomycin,63323-0136-10,J9040,15,15,1,15,1,15
Bleomycin,63323-0137-20,J9040,30,15,1,15,1,15
Bleomycin,69097-0364-36,,15,,,,1,
Bleomycin,70121-1567-01,J9040,15000,15,1,15,1,15
Bleomycin,71288-0106-10,,15,,,,1,
Bleomycin,71288-0107-20,,30,,,,1,
Carboplatin,00703-4239-01,J9045,10,50,12,600,1,600
Carboplatin,00703-4239-81,J9045,10,50,12,600,1,600
Carboplatin,00703-4244-01,J9045,10,50,1,50,1,50
Carboplatin,00703-4244-81,J9045,10,50,1,50,1,50
Carboplatin,00703-4246-01,J9045,10,50,3,150,1,150
Carboplatin,00703-4246-81,J9045,10,50,3,150,1,150
Carboplatin,00703-4248-01,J9045,10,50,9,450,1,450
Carboplatin,00703-4248-81,J9045,10,50,9,450,1,450
Carboplatin,00703-4248-91,,10,,,,1,
Carboplatin,16729-0295-12,J9045,10,50,12,600,1,600
Carboplatin,16729-0295-31,J9045,10,50,1,50,1,50
Carboplatin,16729-0295-33,J9045,10,50,3,150,1,150
Carboplatin,16729-0295-34,J9045,10,50,9,450,1,450
Carboplatin,25021-0202-05,J9045,10,50,1,50,1,50
Carboplatin,25021-0202-15,J9045,10,50,3,150,1,150
Carboplatin,25021-0202-45,J9045,10,50,9,450,1,450
Carboplatin,25021-0202-51,J9045,10,50,12,600,1,600
Carboplatin,47335-0284-40,J9045,10,50,12,600,1,600
Carboplatin,47781-0603-20,J9045,10,50,1,50,1,50
Carboplatin,47781-0604-27,J9045,10,50,3,150,1,150
Carboplatin,47781-0605-94,J9045,10,50,9,450,1,450
Carboplatin,47781-0606-94,J9045,10,50,12,600,1,600
Carboplatin,50742-0445-05,,50,,,,1,
Carboplatin,50742-0446-15,,150,,,,1,
Carboplatin,50742-0447-45,J9045,450,50,9,450,1,450
Carboplatin,50742-0448-60,J9045,600,50,12,600,1,600
Carboplatin,57277-0105-05,,50,,,,1,
Carboplatin,57277-0106-15,,150,,,,1,
Carboplatin,57277-0107-45,,450,,,,1,
Carboplatin,61703-0339-18,J9045,10,50,1,50,1,50
Carboplatin,61703-0339-22,J9045,10,50,3,150,1,150
Carboplatin,61703-0339-50,J9045,10,50,9,450,1,450
Carboplatin,61703-0339-56,J9045,10,50,12,600,1,600
Carboplatin,63323-0172-05,,10,,,,1,
Carboplatin,63323-0172-15,,10,,,,1,
Carboplatin,63323-0172-45,J9045,10,50,9,450,1,450
Carboplatin,63323-0172-60,J9045,10,50,12,600,1,600
Carboplatin,66758-0047-01,,10,,,,1,
Carboplatin,66758-0047-02,,10,,,,1,
Carboplatin,66758-0047-03,,10,,,,1,
Carboplatin,66758-0047-04,,10,,,,1,
Carboplatin,68083-0190-01,,10,,,,1,
Carboplatin,68083-0191-01,,10,,,,1,
Carboplatin,68083-0192-01,,10,,,,1,
Carboplatin,68083-0193-01,,10,,,,1,
Carboplatin,69097-0239-35,,50,,,,1,
Carboplatin,69097-0241-38,,150,,,,1,
Carboplatin,69097-0242-41,,450,,,,1,
Carboplatin,69097-0243-43,,600,,,,1,
Carboplatin,71288-0100-05,,10,,,,1,
Carboplatin,71288-0100-15,,10,,,,1,
Carboplatin,71288-0100-45,,10,,,,1,
Carboplatin,71288-0100-51,,10,,,,1,
Cerezyme,58468-1983-01,,40,,,,1,
