drug_ndc_name,ndc_code,hcpcs_code,numerator_strength,cpt_mbu,mbus_per_package,package_qty,mbus_per_ndc,units_of_service
Abraxane,68817-0134-50,J9264,100,1,100,1,100,100
Alimta,00002-7623-01,J9305,500,10,50,1,50,500
Alimta,00002-7640-01,J9305,100,10,10,1,10,100
Aranesp,55513-0002-04,J0881,25,1,25,4,100,100
Aranesp,55513-0002-04,J0882,25,1,25,4,100,100
Aranesp,55513-0003-04,J0882,40,1,40,4,160,160
Aranesp,55513-0003-04,J0881,40,1,40,4,160,160
Aranesp,55513-0004-04,J0881,60,1,60,4,240,240
Aranesp,55513-0004-04,J0882,60,1,60,4,240,240
Aranesp,55513-0005-04,J0882,100,1,100,4,400,400
Aranesp,55513-0005-04,J0881,100,1,100,4,400,400
Aranesp,55513-0006-01,J0881,200,1,200,1,200,200
Aranesp,55513-0006-01,J0882,200,1,200,1,200,200
Aranesp,55513-0021-04,J0882,40,1,40,1,160,160
Aranesp,55513-0021-04,J0881,40,1,40,1,160,160
Aranesp,55513-0023-04,J0881,60,1,60,1,240,240
Aranesp,55513-0023-04,J0882,60,1,60,1,240,240
Aranesp,55513-0025-04,J0882,100,1,100,1,400,400
Aranesp,55513-0025-04,J0881,100,1,100,1,400,400
Aranesp,55513-0027-04,J0881,150,1,150,1,600,600
Aranesp,55513-0027-04,J0882,150,1,150,1,600,600
Aranesp,55513-0028-01,J0882,200,1,200,1,200,200
Aranesp,55513-0028-01,J0881,200,1,200,1,200,200
Aranesp,55513-0032-01,J0881,500,1,500,1,500,500
Aranesp,55513-0032-01,J0882,500,1,500,1,500,500
Aranesp,55513-0057-04,J0882,25,1,25,1,100,100
Aranesp,55513-0057-04,J0881,25,1,25,1,100,100
Aranesp,55513-0098-04,J0881,10,1,10,1,40,40
Aranesp,55513-0098-04,J0882,10,1,10,1,40,40
Aranesp,55513-0110-01,J0882,300,1,300,1,300,300
Aranesp,55513-0110-01,J0881,300,1,300,1,300,300
Aranesp,55513-0111-01,J0881,300,1,300,1,300,300
Aranesp,55513-0111-01,J0882,300,1,300,1,300,300
Avastin,50242-0060-01,J9035,100,10,10,1,10,100
Avastin,50242-0060-10,J9035,100,10,10,10,100,1000
Avastin,50242-0061-01,J9035,400,10,40,1,40,400
Avastin,50242-0061-10,J9035,400,10,40,10,400,4000
Belrapzo,42367-0521-25,J9036,100,1,100,1,100,100
Bendeka,63459-0348-04,J9034,25,1,100,1,100,100
Cinvanti,47426-0201-01,J0185,130,1,130,1,130,130
Cyramza,00002-7669-01,J9308,10,5,20,1,20,100
Cyramza,00002-7678-01,J9308,10,5,100,1,100,500
Darzalex,57894-0502-05,J9145,100,10,10,1,10,100
Darzalex,57894-0502-20,J9145,100,10,40,1,40,400
Elitek,00024-5150-10,J2783,0,0.5,3,3,9,4.5
Elitek,00024-5151-75,J2783,0,0.5,15,1,15,7.5
Erbitux,66733-0948-23,J9055,2,10,10,1,10,100
Erbitux,66733-0958-23,J9055,2,10,20,1,20,200
Feraheme,59338-0775-01,Q0139,510,1,510,1,510,510
Feraheme,59338-0775-01,Q0138,510,1,510,1,510,510
Feraheme,59338-0775-10,Q0139,510,1,510,10,5100,5100
Feraheme,59338-0775-10,Q0138,510,1,510,10,5100,5100
Granix,63459-0910-11,J1447,300,1,300,1,300,300
Granix,63459-0910-15,J1447,300,1,300,10,3000,3000
Granix,63459-0910-17,J1447,300,1,300,1,300,300
Granix,63459-0910-36,J1447,300,1,300,5,1500,1500
Granix,63459-0912-11,J1447,480,1,480,1,480,480
Granix,63459-0912-15,J1447,480,1,480,10,4800,4800
Granix,63459-0912-17,J1447,480,1,480,1,480,480
Granix,63459-0912-36,J1447,480,1,480,5,2400,2400
Granix,63459-0918-59,J1447,300,1,300,10,3000,3000
Granix,63459-0920-59,J1447,480,1,480,10,4800,4800
